Author  Notes,Format,Title,title_href,Year,Cause
Andrzej Ziemianski,Story,Autobahn nach Poznan,,2001,War
Eric Frank Russell,Story,Dear Devil,,1950,War
Harlan Ellison  Filmed in 1975,Story,A Boy and His Dog,/wiki/A_Boy_and_His_Dog,1969,War
Louise Lawrence  A scientist uses a time machine to travel to the future and film the results of a nuclear war in a bid to prevent it from happening However his actions could have serious repercussions for the mutated descendants of the human race,Story,Extinction is Forever,,1984,War
Frederik Pohl under the pseudonym James MacCreigh,Story,Let the Ants Try,,1949,War
Cicely Hamilton 4,Novel,Theodore Savage vt Lest Ye Die,,1922,War
Nelson S Bond,Story,Magic City,/w/index.php?title=Magic_City_(story)&action=edit&redlink=1,1941,War
Philip K Dick,Story,Second Variety,/wiki/Second_Variety,1953,War
John Wyndham  short story sequel No Place Like Earth,Story,Time to Rest,,1949,War
Masamune Shirow  Japanese manga and subsequent anime adaptations,Comic,Appleseed,/wiki/Appleseed_(manga),19851989,War
Joe R Lansdale,Novella,On the Far Side of the Cadillac Desert With Dead Folks,/wiki/On_the_Far_Side_of_the_Cadillac_Desert_With_Dead_Folks,1989,Zombies
Yukito Kishiro  manga series containing postapocalyptic elements and taking place in a highly futuristic dystopian world,Comic,Battle Angel Alita,/wiki/Battle_Angel_Alita,19901995,War
Usune Masatoshi  Ongoing manga series Later adapted into an anime,Comic,Desert Punk,/wiki/Desert_Punk,1997,War
Set in a postnuclear world,Comic,ExMutants,/wiki/Ex-Mutants,19861993,War
Created by Vaughn Bod first published in 1968,Comic,Cobalt 60 comics,/wiki/Cobalt_60_(comics),1968,War
,Comic,Incredible Hulk The End The Last Titan,/wiki/Incredible_Hulk:_The_End:_The_Last_Titan,2002,War
,Comic,Judge Dredd vs Aliens,/wiki/Judge_Dredd_vs._Aliens,2003,War
Featuring the last boy on earth first published in 1972,Comic,Kamandi,/wiki/Kamandi,1972,War
Shin Takahashi  manga series,Comic,Saikano,/wiki/Saikano,20002001,War
Series originally from Marvel in 19901991 rereleased by ComX,Comic,The Last American,/wiki/The_Last_American,19901991,War
,Comic,The Punisher The End,/wiki/The_Punisher:_The_End,2004,War
Clampongoing manga series,Comic,X1999,/wiki/X/1999,1992,War
Song by the band Warrant on the Dog Eat Dog album depicts an earth devastated by war where life lives on only by artificial means,Song,April 2031,,1992,War
Arjen Anthony Lucassen  series of concept albums depicts the end of life on Earth in 2084 due to among other factors a catastrophic nuclear war,Other,Ayreon,/wiki/Ayreon,1995,War
Edwin Muir  Deals with societys regression to pre Industrial Revolution conditions in the wake of a nuclear war,Poem,The Horses,,1956,War
Peter Porter written in the style of a radio broadcast warning of an impending nuclear attack,Poem,Your Attention Please,,1961,War
Song adaptation of the above Porter poem written and recorded by the Scottish postpunk group the Scars,Song,Your Attention Please,,1979,War
With virtually all of humanity wiped out by a meteor strike the game follows the exploits of an army of survivors fighting bandit raiders and hostile armies across the planets desolate remains,Game,Advance Wars Days of Ruin,/wiki/Advance_Wars:_Days_of_Ruin,2008,Impact Event
Includes video games short stories and animated features revolves largely around the fate of a planet which is ravaged by the impact a giant meteorasteroid summoned by magic published between 2004 and 2009,Other,Compilation of Final Fantasy VII,/wiki/Compilation_of_Final_Fantasy_VII,2004,Impact Event
PC Video Game From Pipeworks set in the postapocalyptic earth in which earth has been destroyed by crystals,Game,Godzilla Unleashed,/wiki/Godzilla:_Unleashed,2007,Impact Event
Video Game iD Softwares new project set after a meteor collision with the Earth,Game,Rage,/wiki/Rage_(video_game),2011,Impact Event
Novel series created by Mark Ellis aka James Axler,Novel,Outlanders,/wiki/Outlanders,1997,Aliens
John Christopher  novel series made into a TV series in the 80s,Novel,The Tripods,/wiki/The_Tripods,19671988,Aliens
An alien alliance called the Covenant begin attacking human colonies in 2525 By 2552 almost all of the human colonies are destroyed and the Covenant are attacking Earth,Game,Halo video game series,/wiki/Halo_(video_game_series),2001,Aliens
Crytek  A near future where an ancient alien spacecraft has been discovered beneath the ground on an island in the East Philippines sea,Game,Crysis,/wiki/Crysis_(series),2007,Aliens
S Fowler Wright A huge flood devastates the world only the English Midlands survive,Novel,Deluge and Dawn,/wiki/Deluge_(novel),1928 1929,Eco
H M Hoover  Set in California several centuries after pollution all but wiped out the human race Published in 1973 and 1976 respectively,Novel,Children of Morrow and Treasures of Morrow,"/wiki/Children_of_Morrow,/w/index.php?title=Treasures_of_Morrow&action=edit&redlink=1",1973 1976,Eco
Mitchell Smith  Novel trilogy comprising Snowfall Kingdom River and Moonrise North America has retreated into huntergatherer societies and military kingdoms some 500 years after an apocalyptic ice age,Novel,The Snowfall Trilogy,/wiki/The_Snowfall_Trilogy,20022004,Eco
Doris Lessing  Mara and Dann and sequel Story of General Dann and Maras Daughter Griot and the Snow Dog Set in a future ice age Other Lessing novels like Memoirs of a Survivor and Shikasta deal with apocalyptic themes,Novel,The Mara and Dann novels,/w/index.php?title=Mara_and_Dann&action=edit&redlink=1,19952005,Eco
Sean McMullen  Trilogy comprising Souls in the Great Machine The Miocene Arrow and Eyes of the Calculator The first book was originally published as two books starting in 1994 An ancient whale species recreated through a genetic experiment turns out to have been telepathic and the whales issue a telepathic call which cause most of humanity and other large land mammals to walk into the oceans and drown,Novel,Greatwinter trilogy,/wiki/Greatwinter,19942001,Eco
Nitrome Limited  flash game by about a character in a yellow hazmat suit attempting to free the world from a race of robots with a variety of bombs A sequel Toxic 2 was released in 2008,Game,Toxic,,2007,Technology
Flight of the Conchords,Radio,Humans Are Dead,,2005,Technology
Hazel OConnor  hit single,Song,The Eighth Day,,1980,Technology
Tokyo Police Club  single,Song,Citizens of Tomorrow,,2007,Technology
The Protomen  The selftitled album,Other,The Protomen,/wiki/The_Protomen,2003,Technology
Michael Hanekes film The Time of the Wolf following a family through the French country side after an undefined catastrophic collapse of civilization,Film,Le Temps du Loup,/wiki/Le_Temps_du_Loup,2003,Human Decline
Depicts human extinction after 2000 years,Film,AI,/wiki/A.I._(film),2001,Human Decline
The Cartoon NetworkAdult Swim animated parody,Television,Korgoth of Barbaria,/wiki/Korgoth_of_Barbaria,2006,Human Decline
The mangaanime series takes place in a postapocalyptic world where constant conflicts between nobles leaves whole parts of the earth uninhabited cities in ruins and technology rare Only the nobles possess futuristic ships and the richest have domed cities where the debilitated earth can still support life Wolves are proclaimed extinct but found a way to enchant humans Five wolves are on a quest to find Paradise along with a FlowerMaiden who was created from a Lunar Flower by a Noble A second apocalypse ends the series with a presumable renewing of the planet Four of the five characters are seen in the renewed world,Television,Wolfs Rain,/wiki/Wolf%27s_Rain,2003,Human Decline
Uses computer animation to simulate the sort of creatures that may evolve from presentday animals In the world depicted in the series the human race has left Earth to colonize the stars The future descendants of humanity have sent probes back to Earth to record what has become of it,Television,The Future Is Wild,/wiki/The_Future_Is_Wild,2002,Human Decline
Gene Wolfe  novel series,Novel,The Book of the New Sun,/wiki/The_Book_of_the_New_Sun,19801983,Human Decline
Arthur C Clarke,Novel,Childhoods End,/wiki/Childhood%27s_End,1953,Human Decline
Robert A Heinlein human society on a future Earth is slipping into a gradual but inevitable collapse,Novel,Friday,/wiki/Friday_(novel),1982,Human Decline
Kurt Vonnegut  After an ambiguous eradication of the human species several people on a cruise to the Galpagos Islands get stranded there Much to the dismay of the only male left the women of the island continue the human species for thousands of years where they evolve into seallike creatures,Novel,Galpagos,/wiki/Gal%C3%A1pagos_(novel),1985,Human Decline
Pierre Boulle,Novel,Planet of the Apes,/wiki/Planet_of_the_Apes_(novel),1963,Human Decline
And followed manga NOiSE Blame and Net Sphere Engineer by Tsutomu Nihei Published between 2004 and 2009,Novel,Biomega,/wiki/Biomega_(manga),20042009,Human Decline
Stephen King First book published in 1982,Novel,The Dark Tower Series,/wiki/The_Dark_Tower_Series,1982,Human Decline
Philip K Dick,Story,To Serve The Master,/w/index.php?title=To_Serve_The_Master&action=edit&redlink=1,1956,Human Decline
Created by Gene Roddenberry ran between 2000 and 2005,Television,Andromeda,/wiki/Andromeda_(TV_series),20002005,Future Collapse
The British ScienceFiction Sitcom First ran between 1988 and 1999 restarted in 2009,Television,Red Dwarf,/wiki/Red_Dwarf,19881999 2009,Future Collapse
Arthur C Clarke,Novel,Against the Fall of Night,/wiki/Against_the_Fall_of_Night,1953,Future Collapse
Arthur C Clarke,Novel,The City and the Stars,/wiki/The_City_and_the_Stars,1956,Future Collapse
Jack Vance,Novel,The Dragon Masters,/wiki/The_Dragon_Masters,1963,Future Collapse
Dan Simmons  a sequel The Rise of Endymion,Novel,Endymion,/wiki/Endymion_(Simmons_novel),1996,Future Collapse
Larry Niven Jerry Pournelle,Novel,The Mote in Gods Eye,/wiki/The_Mote_in_God%27s_Eye,1974,Future Collapse
Manga by Yasuhiro Nightow published between 1996 and 2008,Novel,Trigun,/wiki/Trigun,19962008,Future Collapse
David Drake published between 1994 and 1996,Novel,Reaches,/wiki/David_Drake#Reaches,19941996,Future Collapse
Chad Oliver,Novel,Transfusion,/wiki/Transfusion_(short_story),1959,Future Collapse
Larry Niven  An expedition from earth to find a futuristic planet a ring surrounding a star results in the members finding that a meteor puncture in the rings floor and power failure caused the cities to break apart and civilization to collapse,Novel,Ringworld,/wiki/Ringworld,1970,Future Collapse
Series by Douglas Hill  a lone soldier fights to bring down the organisation which unleashed a deadly radiation against his planet killing all his people and rendering the planet uninhabitable,Novel,Last Legionary,,19791982,Future Collapse
H Beam Piper,Novel,Space Viking,/wiki/Space_Viking,1963,Future Collapse
S M Stirling and David Drake published between 1991 and 1995,Novel,The General series,/wiki/The_General_series,19911995,Future Collapse
Don McKellar  follows the lives of several individuals as they cope with their final six hours on Earth before the apparent incineration of the Earth by the sun the cause of the apocalypse is never directly stated,Film,Last Night,/wiki/Last_Night_(1998_film),1998,Sun
The episode of Babylon 5  written by J Michael Straczynski,Television,The Deconstruction of Falling Stars,/wiki/The_Deconstruction_of_Falling_Stars,1997,Sun
The episode of the television series Doctor Who,Television,The End of the World,/wiki/The_End_of_the_World_(Doctor_Who),2005,Sun
Arthur C Clarke  in which the last survivors of Earth arrive at a distant colony unexpectedly,Novel,Songs of Distant Earth,/wiki/Songs_of_Distant_Earth,1986,Sun
by Lord Byron describes the end of life on earth after the suns extinction,Poem,Darkness,/wiki/Darkness_(poem),1816,Sun
Frank Lillie Pollock where a second suns light incinerates the Earth,Story,Finis,/wiki/Finis_(short_story),1906,Sun
The comic series by Garth Ennis published between 2001 and 2002,Comic,Just a Pilgrim,/wiki/Just_a_Pilgrim,20012002,Sun
Film series based on the book series concerning the Rapture,Film,Left Behind,/wiki/Left_Behind_(series),2000,Supernatural
The manga and subsequent anime movies and TV series by Kia Asamiya  The story is set in a Blade Runnerstyle world which has been invaded by demonic beings,Television,Silent Mobius,,1998,Supernatural
The Clamp anime in which the seven Dragons of Heaven battle the Dragons of Earth to save the world,Television,X1999,/wiki/X/1999,20012002,Supernatural
Season 4 and 5 are based around the preapocalyptic world in which the angels are gearing up for a battle between heaven and hell,Television,Supernatural,/wiki/Supernatural_(U.S._TV_series),20092010,Supernatural
Pat Robertson,Novel,The End of the Age,,1995,Supernatural
novel series concerning the Rapture,Novel,Left Behind,/wiki/Left_Behind_(series),19952007,Supernatural
James Blish  a black magician brings about the end of the world by releasing all the demons from Hell,Novel,Black Easter,/wiki/Black_Easter,1968,Supernatural
James Blish  a black magician brings about the end of the world by releasing all the demons from Hell,Novel,The Day After Judgment,/wiki/The_Day_After_Judgment,1971,Supernatural
A series of fantasy and suspense novels published between 2005 and 2012,Novel,Power of Five,/wiki/Power_of_Five,20052012,Supernatural
Brian Keene  And its sequel City of the Dead Rather than the zombies being an infection as in most zombie fiction these zombies are reanimated by demonic entities the sisquisim from the Old Testament,Novel,The Rising,/wiki/The_Rising_(Keene_novel),2003,Supernatural
Brian Keene  a Lovecraftian tale of one of the last survivors on earth In the novel the world floods causing several monsters appear mainly gigantic maneating earthworms,Novel,The Conqueror Worms,/wiki/The_Conqueror_Worms,2006,Supernatural
Garth Nix  A novel in which a group of extradimensional beings invade earth and cause all human adults over the age of 14 to vanish,Novel,Shades Children,/wiki/Shade%27s_Children,1997,Supernatural
Dean Koontz  A novel in which a malevolent demonic force kills off the majority of the human race,Novel,The Taking,/wiki/The_Taking,2004,Supernatural
The roleplaying game in which sadistic demons invade and conquer the Earth,Game,Tribe 8,/wiki/Tribe_8_(RPG),1998,Supernatural
The roleplaying game in which the unification of all people in a fantasy world under a single supernatural language results in the destruction of a world by what is presumed to be an asteroid that becomes that worlds new moon one that eclipses the sun for a week out of each month,Game,The Shadow of Yesterday,/wiki/The_Shadow_of_Yesterday,2004,Supernatural
A roleplaying game in which an advanced civilization is threatened and destroyed by supernatural forces that religion is knowingly and in some ways unknowingly centered around,Game,Final Fantasy X,/wiki/Final_Fantasy_X,2001,Supernatural
Philip Jose Farmer  Trilogy comprising Dayworld Dayworld Rebel and Dayworld Breakup The reasons for the Dayworld dystopia seems to be a combination involving overpopulation ecological catastrophe some sort of disaster that rendered petroleum unusable and World War III This is hinted at in the second book,Novel,Dayworld,/wiki/Dayworld_(trilogy),198519871990,Unspecified
S M Stirling  Ongoing series of novels and short stories A disaster of indeterminate cause most speculation within the novels concerns an allpowerful outside force often facetiously referred to as Alien space bats causes electricity combustion engines and modern explosives to cease functioning,Novel,The Emberverse series,/wiki/The_Emberverse_series,2004,Unspecified
A series of novels set in a world created by Storm Constantine  humanity is replaced as the planets dominant species by a race of mystic hermaphrodites War and plague ravage the human population but no single cause is specified,Novel,Wraeththu,/wiki/Wraeththu,1987,Unspecified
Ongoing comic series which takes place roughly 100 years in the future where North America is a dustbowl and lacking modern technology,Comic,Wasteland,/wiki/Wasteland_(comic),2006,Unspecified
Ibn alNafis,Novel,Theologus Autodidactus,/wiki/Theologus_Autodidactus,13th century,Impact Event
Shelley Mary,Novel,The Last Man5,"/wiki/The_Last_Man,#cite_note-abebooks.co.uk-5",1826,Disease
The novel Erewhons section The Book of Machines,Novel,The Book of Machines,/w/index.php?title=The_Book_of_Machines&action=edit&redlink=1,1872,Technology
Richard Jefferies  the nature of the catastrophe is never stated except that apparently most of the human race quickly dies out leaving England to revert to nature,Novel,After London6,"/wiki/After_London,#cite_note-6",1885,War
H G Wells  Towards the end of the book The Time Traveler witnesses the Suns expansion causing the death of all life on Earth,Novel,The Time Machine,/wiki/The_Time_Machine,1895,Sun
H G Wells,Novel,The War of the Worlds,/wiki/The_War_of_the_Worlds,1898,Aliens
MP Shiel  A volcanic eruption floods the world with cyanide gas,Novel,The Purple Cloud,/wiki/The_Purple_Cloud,1901,Eco
Robert Hugh Benson,Novel,Lord of the World,/wiki/Lord_of_the_World,1908,Supernatural
E M Forster  A short story emphasizing machinery instead of computers,Story,The Machine Stops,/wiki/The_Machine_Stops,1909,Technology
Jack London,Novel,The Scarlet Plague,/wiki/The_Scarlet_Plague,1912,Disease
William Hope Hodgson  the Sun burns out and the last of humanity is sheltered in an arcology from the hostile environment and the creatures adapted for it,Novel,The Night Land,/wiki/The_Night_Land,1912,Sun
George Allan England  two characters wake from suspended animation and find that some great disaster has torn an enormous chasm in the Earth and created a second moon,Novel,Darkness and Dawn,,1914,Unspecified
Burroughs Edgar Rice,Novel,The Lost Continent,/wiki/Beyond_Thirty,1916,War
Play by Karel Capek  notable for coining the term robot,Play,RUR,/wiki/R.U.R._(Rossum%27s_Universal_Robots),1921,Technology
Edgar Rice Burroughs  The series comprising The Moon Maid with the action set on the moon The Moon Men set in 2120 after the Kalkars have invaded the earth and The Red Hawk which jumps to 2430 and in which the Great Feud reaches its climax,Novel,The Moon Men,/wiki/The_Moon_Men,1926,Aliens
Edmond Hamilton,Novel,The Metal Giants,/w/index.php?title=The_Metal_Giants&action=edit&redlink=1,1926,Technology
S Fowler Wright,Novel,Automata,/wiki/Automata,1929,Technology
Fletcher Pratt,Novel,The War of the Giants,//en.wikisource.org/wiki/The_War_of_the_Giants,1931,Technology
John Gloag 7,Novel,Tomorrows Yesterday,,1932,War
Wells H G  predicting an extended world war fought with modern scientific weapons societal upheaval and the beginning of space travel Filmed as Things to Come in 1936,Novel,The Shape of Things to Come,/wiki/The_Shape_of_Things_to_Come,1933,War
Messac Rgis  predicting a great world war that ends with the vanishing of humanity Only a group of children survives and forms a strange new humanity,Novel,Quinzinzinzili,/wiki/Quinzinzinzili,1934,War
Stanley G Weinbaum  Comprises two novellas Dawn of Flame and The Black Flame with a common character Black Margot aka Margaret of Urbs aka The Black Flame,Novel,The Black Flame,/wiki/The_Black_Flame_(novel),1934,War
Harl Vincent,Story,Rex,,1934,Technology
Stephen Vincent Benet,Novel,Nightmare Number Three,/w/index.php?title=Nightmare_Number_Three&action=edit&redlink=1,1935,Technology
A future second world war leads to a breakdown of civilization in most of the world with technology returning to medieval levels by 1970,Film,Things to Come8,"/wiki/Things_to_Come,#cite_note-8",1936,War
Ian MacPherson  a war much worse than World War I leads to complete social collapse in Britain,Novel,Wild Harbour,/w/index.php?title=Wild_Harbour&action=edit&redlink=1,1936,War
Stephen Vincent Bent,Story,By the Waters of Babylon,/wiki/By_the_Waters_of_Babylon,1937,War
The radio play directed and narrated by Orson Welles,Radio,The War of the Worlds,/wiki/The_War_of_the_Worlds_(radio),1938,Aliens
Philip George Chadwick when a nearinvincible army of artificially created soldiers  the flesh guard  falls into the hands of an untrustworthy power continental Europe forms an alliance and invades Britain The resulting carnage involving poisonous electric gas humanite atomic bombs and the unfeeling march of the Flesh Guard reduces whole cities and towns in Europe to smoking rubble,Novel,The Death Guard,/wiki/The_Death_Guard,1939,War
A cartoon short by Hugh Harman  animals rebuild a postapocalyptic world after humanity has fought wars to the point of extinction,Film,Peace on Earth,/wiki/Peace_on_Earth_(film),1939,Human Decline
Isaac Asimov,Story,Nightfall,/wiki/Nightfall_(Asimov),1941,War
Fritz Leiber9,Novel,Gather Darkness,"/w/index.php?title=Gather,_Darkness&action=edit&redlink=1",1943,War
Arthur C Clarke,Novel,Rescue Party,/wiki/Rescue_Party,1945,Sun
Pat Frank  Depicts a world in which a nuclear power plant explosion renders the entire male population infertile,Novel,Mr Adam,/wiki/Mr._Adam,1946,Eco
Jack Williamson,Novel,With Folded Hands,/wiki/With_Folded_Hands,1947,Technology
Huxley Aldous  also screenplay,Novel,Ape and Essence,/wiki/Ape_and_Essence,1948,War
Stewart George R  plague,Novel,Earth Abides5,"/wiki/Earth_Abides,#cite_note-abebooks.co.uk-5",1949,Disease
Damon Knight,Story,Not with a Bang,/wiki/Not_with_a_Bang_(short_story),1949,War
